z_host	z_host_err	num_epochs	pIa	pII	pIbc
3.61	0.0	3	0.0	1.0	
2.9	0.0	4	1.0	0.0	
2.86	0.1	4	0.0	1.0	
2.83	0.0	4	0.0	1.0	
2.78	0.12	3	0.0	1.0	
2.77	0.86	3	0.0	0.0	
2.73	0.0	3	0.0	1.0	
2.623	0.0	3	0.0	1.0	
2.344	0.0	3	0.0	1.0	
2.24	0.13	1	0.1372810563653885	0.8627189436346115	
2.06	0.0	3	0.0	1.0	
1.94	0.12	4	0.0	1.0	
1.932	0.0	2	0.0	1.0	
1.912	0.0	1	0.0	1.0	
1.86	0.1	3	0.0	1.0	
1.854	0.0	4	0.0	1.0	
1.62	0.0	4	0.0	1.0	
1.19	0.11	1	1.0	0.0	
1.171	0.0	2	0.0	1.0	
1.139	0.0	2	0.0	1.0	
1.01	0.0	2	0.0	1.0	
0.665	0.0	1			
0.657	0.0	3	0.0	0.0	
0.533	0.0	1			
0.21	0.0	1			
0.0	0.0	1			
1.86	0.11	4	0.0	1.0	
0.996	0.0	2	0.0	1.0	
4.82	0.49	1	0.7664612725216317	0.23353872747836826	
3.96	0.14	1			
3.605	0.0	1	0.6602141655530398	0.3397858344469601	
3.58	0.14	1	0.0	1.0	
3.166	0.0	1	0.7455550117181361	0.2544449882818639	
2.73	0.39	1	0.0	1.0	
2.48	0.68	1			
2.323	0.0	1	0.0	1.0	
2.315	0.0	1	0.0	1.0	
2.29	0.23	1	0.0	1.0	
2.01	0.16	1	0.0	1.0	
2.0	0.37	5	0.0	1.0	
1.92	0.0	1	0.9512404740708946	0.0487595259291053	
1.79	0.26	1	0.0	1.0	
1.771	0.0	1			
1.766	0.0	1	0.45897202280450133	0.5410279771954987	
1.688	0.0	1	1.0	0.0	
1.62	0.07	1	0.0	1.0	
1.567	0.0	1	0.0	1.0	
1.42	0.11	1	0.0	1.0	
1.415	0.0	1	0.0	1.0	
1.36	0.21	1	0.0	1.0	
1.294	0.0	1	0.0	1.0	
1.244	0.0	1	0.0	1.0	
1.114	0.0	1	0.0	1.0	
1.094	0.0	1	0.0	1.0	
0.996	0.0	1	0.0	1.0	
0.953	0.0	1	0.0	1.0	
0.669	0.0	1			
0.669	0.0	1			
0.665	0.0	1			
0.665	0.0	1			
0.54	0.0	1			
0.0	0.0	1			
