z_host	z_host_err	num_epochs	pIa	pII	pIbc
4.35	0.04	3	0.0	1.0	
4.117	0.0	4	0.0	1.0	
3.74	0.17	2	0.0	1.0	
3.61	0.0	3	0.0	1.0	
3.21	0.58	4	0.0	1.0	
3.09	0.0	3	0.0	1.0	
2.9	0.0	4	0.0	1.0	
2.86	0.1	4	0.0	1.0	
2.83	0.0	4	0.0	1.0	
2.78	0.12	3	0.0	1.0	
2.73	0.0	3	0.0	1.0	
2.623	0.0	3	0.0	1.0	
2.344	0.0	3	0.0	1.0	
2.24	0.13	1	0.0	1.0	
2.06	0.0	3	0.0	1.0	
1.94	0.12	4	0.0	1.0	
1.932	0.0	2	0.0	1.0	
1.912	0.0	1	0.0	1.0	
1.86	0.1	3	0.0	1.0	
1.854	0.0	4	0.0	1.0	
1.748	0.0	1	0.0	1.0	
1.62	0.0	4	0.0	1.0	
1.5	0.0	2	0.0	1.0	
1.19	0.11	1	0.0	1.0	
1.16	0.05	3	0.0	1.0	
1.139	0.0	2	0.0	1.0	
1.01	0.0	2	0.0	1.0	
0.665	0.0	1	0.0	0.0	
0.657	0.0	3	0.0	0.0	
0.533	0.0	1	0.0	0.0	
0.21	0.0	1	0.0	0.0	
0.0	0.0	1	0.0	0.0	
4.82	0.05	1	0.0	1.0	
4.82	0.49	1	0.0	1.0	
4.504	0.0	1	0.0	1.0	
4.47	0.0	1	0.0	1.0	
4.24	0.09	1	0.0	1.0	
3.96	0.14	1	0.0	0.0	
3.605	0.0	1	0.0	1.0	
3.166	0.0	1	0.0	1.0	
2.79	0.11	1	0.0	1.0	
2.73	0.39	1	0.0	1.0	
2.62	1.54	1	0.0	0.0	
2.617	0.0	1	0.0	1.0	
2.617	0.0	1	0.0	1.0	
2.56	0.39	1	0.0	1.0	
2.48	0.68	1	0.0	0.0	
2.323	0.0	1	0.0	1.0	
2.315	0.0	1	0.0	1.0	
2.29	0.23	1	0.0	1.0	
2.02	0.29	1	0.0	1.0	
2.01	0.16	1	0.0	1.0	
2.0	0.37	5	0.0	1.0	
1.92	0.0	1	0.0	1.0	
1.79	0.26	1	0.0	1.0	
1.771	0.0	1	0.0	0.0	
1.766	0.0	1	0.0	1.0	
1.688	0.0	1	0.0	1.0	
1.62	0.07	1	0.0	1.0	
1.567	0.0	1	0.0	1.0	
1.42	0.11	1	0.0	1.0	
1.415	0.0	1	0.0	1.0	
1.36	0.21	1	0.0	1.0	
1.114	0.0	1	0.0	1.0	
1.094	0.0	1	0.0	1.0	
0.996	0.0	1	0.0	1.0	
0.953	0.0	1	0.0	1.0	
0.669	0.0	1	0.0	0.0	
0.669	0.0	1	0.0	0.0	
0.665	0.0	1	0.0	0.0	
0.665	0.0	1	0.0	0.0	
0.54	0.0	1	0.0	0.0	
0.0	0.0	1	0.0	0.0	
0.0	0.0	1	0.0	0.0	
3.913	0.0	1	0.0	1.0	
2.67	0.2	1	0.0	1.0	
