z_host	z_host_err	num_epochs	pIa	pII	pIbc
4.35	0.04	3	0.0	1.0	
4.117	0.0	4	0.0	1.0	
3.61	0.0	3	0.0	1.0	
3.21	0.58	4	0.0	1.0	
3.09	0.0	3	0.24	0.76	
2.9	0.0	4	1.0	0.0	
2.86	0.1	4	0.0	1.0	
2.83	0.0	4	0.0	1.0	
2.73	0.0	3	0.0	1.0	
2.344	0.0	3	0.0	1.0	
1.94	0.12	4	0.0	1.0	
1.86	0.1	3	0.0	1.0	
1.748	0.0	1	0.0	1.0	
1.62	0.0	4	0.0	1.0	
1.5	0.0	2	0.0	1.0	
1.19	0.11	1	1.0	0.0	
1.16	0.05	3	0.0	1.0	
1.139	0.0	2	0.0	1.0	
1.01	0.0	2	0.0	1.0	
0.657	0.0	3	0.0	0.0	
0.533	0.0	1	0.0	0.0	
0.21	0.0	1	0.0	0.0	
0.0	0.0	1	0.0	0.0	
4.82	0.49	1	0.82	0.18	
3.166	0.0	1	0.79	0.21	
2.79	0.11	1	0.0	1.0	
2.73	0.39	1	0.0	1.0	
2.617	0.0	1	0.0	1.0	
2.48	0.68	1	0.0	0.0	
2.315	0.0	1	0.0	1.0	
2.0	0.37	5	0.0	1.0	
1.79	0.26	1	0.0	1.0	
1.771	0.0	1	0.0	0.0	
1.688	0.0	1	1.0	0.0	
1.42	0.11	1	0.0	1.0	
1.294	0.0	1	0.0	1.0	
1.094	0.0	1	0.0	1.0	
0.996	0.0	1	0.0	1.0	
0.953	0.0	1	0.0	1.0	
0.669	0.0	1	0.0	0.0	
0.669	0.0	1	0.0	0.0	
0.54	0.0	1	0.0	0.0	
0.0	0.0	1	0.0	0.0	
